Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
HEALTH,HOME / COMMUNITY CARE,Local authority social services day care for adults (18-64) requiring mental health support - average cost per client attendance,Per attendance,Local Authority,Social Services,41.89789115,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 36"
SOCIAL SERVICES,HOME / COMMUNITY CARE,"Average gross weekly cost of day care or day services for older people, England",Per week,Local Authority,Adult Social Services,115.1875459,57.59377295,,"Personal Social Services: Expenditure and Unit Costs, England - 2013-14, Final Release: Unit Costs by CASSR"
SOCIAL SERVICES,HOME / COMMUNITY CARE,"Average gross weekly cost of day care or day services for adults and older people, England",Per week,Local Authority,Adult Social Services,189.6911185,94.84555923,,"Personal Social Services: Expenditure and Unit Costs, England - 2013-14, Final Release: Unit Costs by CASSR"
HEALTH,MENTAL HEALTH,Private and voluntary sector day care for adults (18-64) requiring mental health support - average cost per client attendance,Per attendance,Local Authority,Social Services,40.82358625,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021). p 37"
SOCIAL SERVICES,PROGRAMMES,Parenting Programme - median cost of delivering a group-based parenting programme (per participant),Per participant,Multiple,,1307.632134,,,"Costs and longer-term savings of parenting programmes for the prevention of persistent conduct disorder: a modelling study (Bonin et al, 2011), p.5"
SOCIAL SERVICES,PROGRAMMES,Parenting Programme - median cost of delivering an individually-based parenting programme (per participant),Per participant,Multiple,,2854.26426,,,"Costs and longer-term savings of parenting programmes for the prevention of persistent conduct disorder: a modelling study (Bonin et al, 2011), p.5"
SOCIAL SERVICES,PROGRAMMES,"Parenting Programme - Incredible Years: total cost per child (eight parents per group, excluding set-up costs)",Per child,Local Authority,Children's Services,2346.862536,,,"Unit Costs of Health & Social Care 2014 (Curtis, 2014), p.103"
SOCIAL SERVICES,PROGRAMMES,"Total savings from the delivery of parenting programmes for parents of children aged five with conduct disorder, per child over a 25 year period (to age 30)",Per child over a 25 year period,Criminal Justice System,NHS,4626.160744,8130.120381,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.6-7"
SOCIAL SERVICES,PROGRAMMES,"Fiscal savings to the criminal justice system from the delivery of parenting programmes for parents of children aged five with conduct disorder, per child over a 25 year period (to age 30)",Per child over a 25 year period,Criminal Justice System,Prison,2181.218308,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.6-7"
SOCIAL SERVICES,PROGRAMMES,"Fiscal savings to the NHS from the delivery of parenting programmes for parents of children aged five with conduct disorder, per child over a 25 year period (to age 30)",Per child over a 25 year period,NHS,Clinical Commissioning Group,1755.413727,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.6-7"
SOCIAL SERVICES,PROGRAMMES,"Fiscal savings to the education sector from the delivery of parenting programmes for parents of children aged five with conduct disorder, per child over a 25 year period (to age 30)",Per child over a 25 year period,Department for Education,Schools,600.2471037,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.6-7"
SOCIAL SERVICES,PROGRAMMES,"Fiscal savings to social services from the delivery of parenting programmes for parents of children aged five with conduct disorder, per child over a 25 year period (to age 30)",Per child over a 25 year period,Local Authority,Children's Services,92.02873214,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.6-7"
SOCIAL SERVICES,PROGRAMMES,"Total fiscal and economic savings from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,Criminal Justice System,NHS,4335.518364,9409.400117,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
SOCIAL SERVICES,PROGRAMMES,"Fiscal savings to the criminal justice system from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,Criminal Justice System,Prison,2500.428401,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
SOCIAL SERVICES,PROGRAMMES,"Fiscal savings to the NHS from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,NHS,Clinical Commissioning Group,1552.456357,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
SOCIAL SERVICES,PROGRAMMES,"Fiscal savings to the education sector from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,Department for Education,Schools,251.5303854,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
SOCIAL SERVICES,PROGRAMMES,"Fiscal savings to social services from the delivery of school-based emotional learning programmes, per child over a 10 year period",Per child over a ten year period,Local Authority,Children's Services,31.1032197,,,"Mental Health Promotion and Mental Illness Prevention: the economic case (Knapp et al, 2011), p.9-10"
SOCIAL SERVICES,PROGRAMMES,Multi-Systemic Therapy (MST) - cost per therapy session,Per session,Local Authority,Adult Social Services,147.101871,,,"Unit Costs of Health & Social Care 2018 (Curtis, 2018) p76"
SOCIAL SERVICES,LABOUR COSTS PER HOUR,Social worker - adult services: cost per hour (excluding qualification costs),Per hour,Local Authority,Adult Social Services,49.41802546,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p 122"
SOCIAL SERVICES,LABOUR COSTS PER HOUR,Social worker - children's services: cost per hour (excluding qualification costs),Per hour,Local Authority,Children's Services,49.41802546,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p 123"
SOCIAL SERVICES,LABOUR COSTS PER HOUR,Social work team leader / senior practitioner / senior social worker: cost per hour (excluding qualification costs),Per hour,Local Authority,Adult Social Services,65.16369767,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.173"
SOCIAL SERVICES,LABOUR COSTS PER HOUR,Social Work Assistant - cost per hour,Per hour,Local Authority,Adult Social Services,37.60067155,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.124"
SOCIAL SERVICES,LABOUR COSTS PER HOUR,Local Authority Home Care Worker - cost per hour of face-to-face contact,Per hour,Local Authority,Adult Social Services,34.37775684,,,"Unit Costs of Health & Social Care 2021 (Jones, 2021), p.142"
SOCIAL SERVICES,LABOUR COSTS PER HOUR,Local Authority Community Occupational Therapist - cost per hour (excluding qualification costs),Per hour,Local Authority,Adult Social Services,50.49233037,,,"Unit Costs of Health & Social Care 2021 (Curtis, 2021), p.125"
SOCIAL SERVICES,LABOUR COSTS PER HOUR,Family Support Worker - cost per hour,Per hour,Local Authority,,38.61552455,,,"Unit Costs of Health & Social Care 2017 (Curtis, 2017), p.180"
HEALTH,AMBULANCE,"Ambulance services - average cost of call out, per incident",Per incident,NHS,Integrated Care System,348.1929616,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of currency codes ASS01 and ASS02, 'AMB' worksheet)"
HEALTH,AMBULANCE,"Ambulance services - average cost of call out: seeing and treating or referring patients, per incident",Per incident,NHS,Integrated Care System,288.3756647,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (currency code ASS01, 'AMB' worksheet)"
HEALTH,AMBULANCE,"Ambulance services - average cost of call out: seeing, treating and conveying patients, per incident",Per incident,NHS,Integrated Care System,383.9565718,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (currency code ASS02, 'AMB' worksheet)"
HEALTH,AMBULANCE,"Ambulance services - average cost of 999 calls to ambulance services (but no further action taken, and ambulance not sent out), per incident",Per incident,NHS,Integrated Care System,96.24697612,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (currency code ASC1, 'AMB' worksheet)"
HEALTH,AMBULANCE,"Ambulance services - average cost of 999 calls to ambulance services, with treatment advice or onward referral provided (but ambulance not sent out), per incident",Per incident,NHS,Integrated Care System,91.33740272,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (currency code ASH1, 'AMB' worksheet)"
HEALTH,HOSPITAL,A&E attendance (all scenarios),Per incident,NHS,Integrated Care System,318.9288961,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against HRG code, sheet AE VB01Z to VB99Z)"
HEALTH,HOSPITAL,A&E attendance - no investigation and no significant treatment,Per incident,NHS,Integrated Care System,143.7419958,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against HRG code, sheet AE VB11Z)"
HEALTH,HOSPITAL,"A&E attendance - no investigation and no significant treatment, leading to admission",Per incident,NHS,Integrated Care System,235.9173563,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against HRG code, sheet AE VB11Z Type 1 / 2 / 3 admitted)"
HEALTH,HOSPITAL,"A&E attendance - no investigation and no significant treatment, not leading to admission",Per incident,NHS,Integrated Care System,103.3696176,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against HRG code, sheet AE VB11Z Type 1 / 3/ 4 not admitted)"
HEALTH,HOSPITAL,A&E attendance - investigation with subsequent treatment,Per incident,NHS,Integrated Care System,357.0774631,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against HRG code, sheet AE VB01Z to VB10Z)"
HEALTH,HOSPITAL,"A&E attendance - investigation with subsequent treatment, leading to admission",Per incident,NHS,Integrated Care System,252.9773182,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against HRG code, sheet AE VB01Z to VB10Z ADMITTED)"
HEALTH,HOSPITAL,"A&E attendance - investigation with subsequent treatment, not leading to admission",Per incident,NHS,Integrated Care System,133.2782661,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against HRG code, sheet AE VB01Z to VB10Z NON-ADMITTED)"
HEALTH,HOSPITAL,"A&E attendance - all scenarios, leading to admission",Per incident,NHS,Integrated Care System,248.5404389,,,"National Cost Collection: National Schedule of NHS costs - Year 2020-21 - NHS trust and NHS foundation trusts (weighted average of values against HRG code, sheet AE VB01Z to VB99Z ADMITTED)"
